freq,psd,S_P_NV_freq,SNR_linear,SNR_dB
0.0,5.4280015e-05,1303.1421363190973,4.165318103606099e-08,-73.80351826102232
10.7666015625,0.00032790506,1303.1421363190973,2.516264494000925e-07,-65.9924371050508
21.533203125,0.00044619443,1303.1421363190973,3.423988773501466e-07,-64.65467667947676
32.2998046875,0.00047546485,1303.1421363190973,3.648602957683602e-07,-64.37873394149432
43.06640625,0.00037146566,1303.1421363190973,2.8505385709181323e-07,-65.45073078138687
53.8330078125,0.0002790024,1303.1421363190973,2.1409975758287978e-07,-66.69383824440627
64.599609375,0.0002224116,1303.1421363190973,1.7067332650744296e-07,-67.6783434681609
75.3662109375,0.00014019669,1303.1421363190973,1.0758357320981993e-07,-69.68254035444241
86.1328125,8.504523e-05,1303.1421363190973,6.52616717163471e-08,-71.85341805695461
96.8994140625,6.447329e-05,1303.1421363190973,4.9475252570234993e-08,-73.05611980050735
107.666015625,4.8147846e-05,1303.1421363190973,3.69475011026369e-08,-74.32414929232208
118.4326171875,3.952353e-05,1303.1421363190973,3.032940779492481e-08,-75.18136069541207
129.19921875,2.6797943e-05,1303.1421363190973,2.05640997529844e-08,-76.86890298110508
139.9658203125,1.4458945e-05,1303.1421363190973,1.1095446573701297e-08,-79.54855213432765
150.732421875,1.0417269e-05,1303.1421363190973,7.99396194034486e-09,-80.97237923768878
161.4990234375,6.264944e-06,1303.1421363190973,4.807568172684097e-09,-83.1807454862654
172.265625,4.9283567e-06,1303.1421363190973,3.781903001741726e-09,-84.22289614134169
183.0322265625,4.503537e-06,1303.1421363190973,3.45590669912052e-09,-84.61437990904972
193.798828125,3.7299972e-06,1303.1421363190973,2.8623103013560364e-09,-85.43283286417736
204.5654296875,3.110737e-06,1303.1421363190973,2.3871047399188596e-09,-86.22128524868053
215.33203125,2.6000803e-06,1303.1421363190973,1.995239204239617e-09,-87.0000503037633
226.0986328125,2.1875412e-06,1303.1421363190973,1.6786666259140415e-09,-87.7503554382711
236.865234375,2.0038083e-06,1303.1421363190973,1.5376743800952627e-09,-88.13135621556611
247.6318359375,1.8138264e-06,1303.1421363190973,1.3918867829215692e-09,-88.56396089116339
258.3984375,1.5324855e-06,1303.1421363190973,1.1759925918977345e-09,-89.2959541406606
269.1650390625,1.0314129e-06,1303.1421363190973,7.914815218900884e-10,-91.01559219822278
279.931640625,7.8789856e-07,1303.1421363190973,6.046144431256813e-10,-92.18521482538844
290.6982421875,5.8158884e-07,1303.1421363190973,4.462973144281916e-10,-93.5037572649697
