N,eta,improvement
2,0.99,0.28933094548129845
3,0.99,0.416817909909469
4,0.99,0.49240514380847866
5,0.99,0.5437061570248363
6,0.99,0.5813641771950728
7,0.99,0.6104659769728432
8,0.99,0.63378862880478
9,0.99,0.6529932147715944
10,0.99,0.6691420120703353
11,0.99,0.6829500533581097
12,0.99,0.6949185465995802
13,0.99,0.705410572608383
14,0.99,0.714696422600069
15,0.99,0.7229819879829644
16,0.99,0.730427212663767
17,0.99,0.7371584724345672
18,0.99,0.7432771098332533
19,0.99,0.7488654598448946
20,0.99,0.7539911938096474
25,0.99,0.7743643800996061
30,0.99,0.7887829119204178
35,0.99,0.7994753949348085
40,0.99,0.8076537561991021
45,0.99,0.814040032347437
50,0.99,0.8190941003427821
55,0.99,0.8231242065346818
60,0.99,0.8263454630984421
65,0.99,0.8289129671009184
70,0.99,0.8309415953436501
75,0.99,0.832518374156127
80,0.99,0.8337105029003286
85,0.99,0.8345707259110183
90,0.99,0.8351410286551469
95,0.99,0.8354552420011411
100,0.99,0.83554091584334
120,0.99,0.8339972439591489
140,0.99,0.8300622132976673
160,0.99,0.8242310986480443
180,0.99,0.8167627223019029
200,0.99,0.8077868306592253
220,0.99,0.797355485926706
240,0.99,0.7854697075790742
260,0.99,0.7720940699076069
280,0.99,0.7571649687715661
300,0.99,0.7405953359797515
320,0.99,0.7222772400511221
340,0.99,0.7020831569649992
360,0.99,0.6798663550866383
380,0.99,0.6554606536461205
400,0.99,0.6286797090075589
420,0.99,0.5993159206928487
440,0.99,0.5671390107911973
460,0.99,0.5318943058503937
480,0.99,0.49330073397321594
500,0.99,0.4510485383973186
