N,eta,f_ent,fisher,crb,mc_sigma
2,0.99,0.0,1.98,0.5050505050505051,0.797081777968279
2,0.99,0.25,1.7325,0.5772005772005773,0.8838459828307437
2,0.99,0.5,1.4849999999999999,0.6734006734006734,0.9420309622073049
2,0.99,0.75,2.157250887116247,0.4635529441532747,0.7765457621212883
2,0.99,1.0,3.9204,0.2550760126517702,0.5666557591310922
2,0.9,0.0,1.8,0.5555555555555556,0.8514559868143541
2,0.9,0.25,1.5750000000000002,0.6349206349206349,0.8829306426393738
2,0.9,0.5,1.35,0.7407407407407407,1.049202791019759
2,0.9,0.75,1.8908127589142179,0.5288730971829495,0.8224219129140211
2,0.9,1.0,3.24,0.30864197530864196,0.621602206170582
2,0.8,0.0,1.6,0.625,0.880386106793886
2,0.8,0.25,1.4000000000000001,0.7142857142857142,1.0147261134176757
2,0.8,0.5,1.2000000000000002,0.8333333333333333,1.0567677959316668
2,0.8,0.75,1.6074767078498864,0.622092995261854,0.9072074544757919
2,0.8,1.0,2.5600000000000005,0.39062499999999994,0.707562654597189
2,0.6,0.0,1.2,0.8333333333333334,1.0196943512764713
2,0.6,0.25,1.0499999999999998,0.9523809523809526,1.1157301206121888
2,0.6,0.5,0.8999999999999999,1.1111111111111112,1.2306777142837642
2,0.6,0.75,1.0842791276070018,0.9222717421546189,1.0802684735744341
2,0.6,1.0,1.44,0.6944444444444444,0.9441063107456954
2,0.4,0.0,0.8,1.25,1.2851662997762419
2,0.4,0.25,0.7000000000000001,1.4285714285714284,1.365300123881778
2,0.4,0.5,0.6000000000000001,1.6666666666666665,1.423880385998907
2,0.4,0.75,0.6269074841227313,1.595131698578075,1.4790038658082851
2,0.4,1.0,0.6400000000000001,1.5624999999999998,1.4703684523719684
3,0.99,0.0,2.9699999999999998,0.3367003367003367,0.6686788413387841
3,0.99,0.25,2.475,0.40404040404040403,0.7359174402869548
3,0.99,0.5,2.593167258077498,0.3856288085101661,0.673356643024852
3,0.99,0.75,4.454478802263378,0.22449315495493818,0.522970420551185
3,0.99,1.0,8.732691,0.11451223912537382,0.3799909579630067
3,0.9,0.0,2.7,0.37037037037037035,0.7022888585500873
3,0.9,0.25,2.2500000000000004,0.44444444444444436,0.7599799726225109
3,0.9,0.5,2.310541839276145,0.4327989145235663,0.7471842615086889
3,0.9,0.75,3.6705180845139243,0.27244110421878687,0.6406441815047049
3,0.9,1.0,6.561000000000001,0.15241579027587257,0.44059256035875294
3,0.8,0.0,2.4000000000000004,0.41666666666666663,0.7287433033513478
3,0.8,0.25,2.0000000000000004,0.4999999999999999,0.8219502997219044
3,0.8,0.5,2.004984471899925,0.4987569799243379,0.8248143785101967
3,0.8,0.75,2.8981521098777177,0.3450474516474545,0.6663915397254586
3,0.8,1.0,4.608000000000001,0.2170138888888888,0.5220085090417219
3,0.6,0.0,1.7999999999999998,0.5555555555555556,0.8876669620970206
3,0.6,0.25,1.4999999999999998,0.6666666666666667,0.9324471077565858
3,0.6,0.5,1.4228527517380012,0.7028134139520126,0.9411676813636546
3,0.6,0.75,1.6530027302294694,0.6049596783552682,0.8601528402498501
3,0.6,1.0,1.9439999999999997,0.5144032921810701,0.8356232210938873
3,0.4,0.0,1.2000000000000002,0.8333333333333333,1.030965468886326
3,0.4,0.25,1.0000000000000002,0.9999999999999998,1.129363502210166
3,0.4,0.5,0.8846049894151542,1.1304480666123506,1.2757287403687154
3,0.4,0.75,0.7831269677259833,1.2769321466527517,1.3280712913772872
3,0.4,1.0,0.5760000000000002,1.7361111111111105,1.4738135175904905
4,0.99,0.0,3.96,0.25252525252525254,0.5737919880737188
4,0.99,0.25,3.2175,0.31080031080031084,0.638294618629167
4,0.99,0.5,3.9402,0.2537942236434699,0.567874093890536
4,0.99,0.75,7.53951825,0.13263446905244908,0.4145588141096309
4,0.99,1.0,15.36953616,0.06506377223032606,0.2918737107499472
4,0.9,0.0,3.6,0.2777777777777778,0.582183708890828
4,0.9,0.25,2.9250000000000003,0.34188034188034183,0.6521477859001371
4,0.9,0.5,3.42,0.29239766081871343,0.6057431636243539
4,0.9,0.75,5.820750000000001,0.1717991667740411,0.47511208422397444
4,0.9,1.0,10.4976,0.09525986892242036,0.3525437706204938
4,0.8,0.0,3.2,0.3125,0.6364282704002289
4,0.8,0.25,2.6000000000000005,0.3846153846153845,0.6941630206676485
4,0.8,0.5,2.8800000000000003,0.34722222222222215,0.6673552275791846
4,0.8,0.75,4.256000000000001,0.23496240601503754,0.549050269778434
4,0.8,1.0,6.553600000000001,0.15258789062499997,0.45816651305623857
4,0.6,0.0,2.4,0.4166666666666667,0.7240218724957225
4,0.6,0.25,1.9499999999999997,0.5128205128205129,0.8055878546494782
4,0.6,0.5,1.92,0.5208333333333334,0.8211481695398434
4,0.6,0.75,2.058,0.4859086491739553,0.799854966271083
4,0.6,1.0,2.0736,0.4822530864197531,0.7512799014515263
4,0.4,0.0,1.6,0.625,0.9113424723837523
4,0.4,0.25,1.3000000000000003,0.769230769230769,0.9840265318287132
4,0.4,0.5,1.12,0.8928571428571428,1.1514709944855466
4,0.4,0.75,0.8320000000000002,1.2019230769230766,1.290113053411189
4,0.4,1.0,0.4096000000000001,2.4414062499999996,1.7233451494653131
5,0.99,0.0,4.95,0.20202020202020202,0.51261603395852
5,0.99,0.25,4.098248306341541,0.24400668901701772,0.5621446206120932
5,0.99,0.5,5.522459959713119,0.18107872348466028,0.4918699995381971
5,0.99,0.75,11.394273756409884,0.08776338197398907,0.3459912750676565
5,0.99,1.0,23.7747512475,0.04206142851253401,0.2349559556436486
5,0.9,0.0,4.5,0.2222222222222222,0.549600279097778
